,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,706926,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
2,"Ohne Dich",KASIMIR1441,483656,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
3,"Astronaut In The Ocean","Masked Wolf",383366,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",365937,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
5,"BAD EYEZ",Nimo,358213,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
6,"The Business",Tiësto,345878,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
7,"Your Love (9PM)",ATB,296349,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
8,SMS,Samra,296218,https://open.spotify.com/track/65WZOMvIcnObuLEEZvlksc
9,"drivers license","Olivia Rodrigo",286875,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
10,"Save Your Tears","The Weeknd",272570,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"No Comprendo",Jamule,271055,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
12,"WITHOUT YOU","The Kid LAROI",247274,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"White Lies",VIZE,239097,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
14,"Girls Like Us","Zoe Wees",226205,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
15,"Head & Heart (feat. MNEK)","Joel Corry",216395,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Paradise (feat. Dermot Kennedy)",MEDUZA,212663,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
17,"Wenn sie ruft","Miksu / Macloud",212234,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
18,"Lost (feat. TOPIC42)",Samra,208743,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
19,"Love Not War (The Tampa Beat)","Jason Derulo",205620,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
20,"Blinding Lights","The Weeknd",198855,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,"Mood (feat. iann dior)",24kGoldn,197166,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
22,"All We Got (feat. KIDDO)","Robin Schulz",196105,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
23,Whoopty,CJ,193687,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
24,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,189024,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
25,Brachland,"Kool Savas",188725,https://open.spotify.com/track/0HZsi7S5hOq6Vqdu5hBttZ
26,Angst,"Apache 207",183875,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
27,Goosebumps,HVME,182139,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
28,Adé,"PA Sports",181149,https://open.spotify.com/track/6ux4jXnopxlCQJM76XJRxf
29,"Where The Lights Are Low","Toby Romeo",180967,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
30,"Verdammt ich lieb' Dich","Mike Singer",180268,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
31,"Calling My Phone","Lil Tjay",175252,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
32,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,172433,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
33,"Rise Up (feat. Vamero)",VINAI,169612,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
34,Subwoofer,"SHINSKY x DIMA",169607,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
35,"My Head & My Heart","Ava Max",160649,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
36,"Wellerman - Sea Shanty","Nathan Evans",157376,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
37,Roller,"Apache 207",156293,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
38,Lonely,"Miksu / Macloud",155144,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
39,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",153102,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
40,"Wer wenn nicht wir","Wincent Weiss",148738,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
41,Ordentlich,t-low,145006,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
42,Verlierer,LUNA,142686,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
43,Rapkiller,"Kool Savas",139609,https://open.spotify.com/track/04a5jHI3rPlt4r4kNIDc8N
44,Arcade,"Duncan Laurence",137140,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
45,"you broke me first","Tate McRae",136959,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
46,Hypnotized,"Purple Disco Machine",136452,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
47,"coke light",Dardan,135475,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
48,"Prisoner (feat. Dua Lipa)","Miley Cyrus",131053,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
49,"Fly Away","Tones And I",130515,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
50,Afterglow,"Ed Sheeran",126355,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
51,"Roses - Imanbek Remix","SAINt JHN",115450,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
52,"Jerusalema (feat. Nomcebo Zikode)","Master KG",115105,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
53,"The One","Rea Garvey",114371,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
54,"Irgendwie egal",Takt32,111721,https://open.spotify.com/track/1fAmxNqcMIv10kxqlJsLyu
55,"HIGHWAY (feat. ELIF)","Katja Krasavice",110157,https://open.spotify.com/track/6QVxJg8q95hEuPgNRb56jK
56,Paradies,Gzuz,109970,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
57,"We're Good","Dua Lipa",108404,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
